"Year","Rank","Team","Points"
"2015","1","Alabama","311.10"
"2015","2","USC","310.88"
"2015","3","Florida State","287.06"
"2015","4","Tennessee","286.26"
"2015","5","LSU","284.37"
"2015","6","Georgia","282.54"
"2015","7","Ohio State","279.60"
"2015","8","Auburn","278.31"
"2015","9","Clemson","277.98"
"2015","10","Texas","272.49"
"2015","11","Texas A&M","270.61"
"2015","12","UCLA","269.68"
"2015","13","Notre Dame","267.79"
"2015","14","Penn State","250.00"
"2015","15","Oklahoma","249.69"
"2015","16","Oregon","245.79"
"2015","17","Ole Miss","245.71"
"2015","18","Mississippi State","237.46"
"2015","19","Arizona State","232.73"
"2015","20","South Carolina","230.49"
"2015","21","Florida","227.46"
"2015","22","Arkansas","222.51"
"2015","23","Michigan State","221.77"
"2015","24","Stanford","220.65"
"2015","25","Missouri","217.98"
"2015","26","Washington","215.83"
"2015","27","Miami","215.49"
"2015","28","North Carolina","214.05"
"2015","29","Virginia Tech","212.07"
"2015","30","Nebraska","211.72"
"2015","31","NC State","208.69"
"2015","32","Texas Tech","203.18"
"2015","33","Louisville","201.40"
"2015","34","California","198.77"
"2015","35","West Virginia","198.02"
"2015","36","Baylor","195.88"
"2015","37","Michigan","194.82"
"2015","38","Kentucky","193.19"
"2015","39","TCU","191.44"
"2015","40","Oklahoma State","191.28"
"2015","41","Wisconsin","189.85"
"2015","42","Washington State","188.41"
"2015","43","Arizona","186.57"
"2015","44","Georgia Tech","185.45"
"2015","45","Utah","183.38"
"2015","46","Pittsburgh","183.18"
"2015","47","Maryland","182.31"
"2015","48","Illinois","181.74"
"2015","49","Vanderbilt","181.37"
"2015","50","Virginia","179.92"
"2015","51","Wake Forest","176.85"
"2015","52","Duke","175.77"
"2015","53","Indiana","175.35"
"2015","54","Kansas State","175.02"
"2015","55","Northwestern","174.83"
"2015","56","Rutgers","172.19"
"2015","57","Syracuse","172.06"
"2015","58","Boise State","171.68"
"2015","59","Iowa","169.99"
"2015","60","Boston College","169.45"
"2015","61","Oregon State","167.89"
"2015","62","San José State","167.14"
"2015","63","Minnesota","167.01"
"2015","64","Iowa State","166.50"
"2015","65","BYU","165.06"
"2015","66","South Florida","163.15"
"2015","67","Purdue","162.85"
"2015","68","Cincinnati","162.45"
"2015","69","Colorado","162.04"
"2015","70","San Diego State","161.96"
"2015","71","UCF","160.78"
"2015","72","Fresno State","155.02"
"2015","73","Kansas","153.94"
"2015","74","Miami (OH)","150.48"
"2015","75","Marshall","149.98"
"2015","76","Western Michigan","147.78"
"2015","77","Memphis","146.79"
"2015","78","Louisiana","146.18"
"2015","79","Florida Atlantic","146.02"
"2015","80","Temple","143.34"
"2015","81","SMU","142.99"
"2015","82","Louisiana Tech","142.32"
"2015","83","Northern Illinois","138.94"
"2015","84","Toledo","138.12"
"2015","85","Georgia Southern","137.18"
"2015","86","Middle Tennessee","134.77"
"2015","87","Southern Miss","133.40"
"2015","88","South Alabama","132.17"
"2015","89","Houston","131.58"
"2015","90","Arkansas State","131.45"
"2015","91","Tulane","128.90"
"2015","92","Ohio","128.68"
"2015","93","East Carolina","126.85"
"2015","94","North Texas","126.60"
"2015","95","Texas State","124.71"
"2015","96","Utah State","124.56"
"2015","97","Central Michigan","123.63"
"2015","98","Nevada","122.50"
"2015","99","UConn","120.89"
"2015","100","Florida International","120.42"
"2015","101","Rice","120.11"
"2015","102","Kent State","119.93"
"2015","103","UTSA","119.88"
"2015","104","Bowling Green","119.83"
"2015","105","Ball State","119.70"
"2015","106","UNLV","119.46"
"2015","107","Massachusetts","118.12"
"2015","108","UL Monroe","116.67"
"2015","109","Tulsa","116.08"
"2015","110","Old Dominion","115.65"
"2015","111","Western Kentucky","115.65"
"2015","112","Navy","114.70"
"2015","113","Wyoming","114.32"
"2015","114","App State","112.03"
"2015","115","Eastern Michigan","110.15"
"2015","116","New Mexico","110.03"
"2015","117","Troy","107.58"
"2015","118","Buffalo","103.21"
"2015","119","Colorado State","101.72"
"2015","120","Army","100.83"
"2015","121","Idaho","98.54"
"2015","122","Hawai'i","98.16"
"2015","123","Air Force","98.02"
"2015","124","Georgia State","90.61"
"2015","125","New Mexico State","87.78"
"2015","126","Charlotte","86.91"
"2015","127","Akron","82.38"
"2015","128","UTEP","73.03"
"2015","129","Harvard","67.37"
"2015","130","Northern Arizona","65.76"
"2015","131","Chattanooga","63.37"
"2015","132","North Dakota State","63.16"
"2015","133","Jacksonville State","59.00"
"2015","134","Towson","47.49"
"2015","135","James Madison","46.41"
"2015","136","Yale","45.08"
"2015","137","Western Carolina","43.67"
"2015","138","Stephen F. Austin","41.30"
"2015","139","UT Martin","39.72"
"2015","140","UC Davis","39.45"
"2015","141","Northern Iowa","39.11"
"2015","142","Liberty","38.13"
"2015","143","Samford","37.80"
"2015","145","South Dakota","37.56"
"2015","146","Southern Illinois","37.12"
"2015","147","Montana","37.09"
"2015","148","Southeast Missouri State","36.75"
"2015","149","South Carolina State","36.33"
"2015","150","Lafayette","35.89"
"2015","151","Weber State","35.75"
"2015","152","Princeton","35.28"
"2015","153","Austin Peay","35.12"
"2015","154","Monmouth","35.02"
"2015","155","Cal Poly","34.98"
"2015","156","Villanova","34.10"
"2015","157","William & Mary","33.75"
"2015","158","South Dakota State","33.71"
"2015","159","Florida A&M","32.93"
"2015","160","Furman","32.92"
"2015","161","Duquesne","32.39"
"2015","162","Delaware","32.38"
"2015","163","Illinois State","32.28"
"2015","164","East Tennessee State","31.28"
"2015","165","Alcorn State","30.60"
"2015","166","The Citadel","30.40"
"2015","167","Wofford","30.13"
"2015","168","Sam Houston","29.96"
"2015","169","Western Illinois","28.88"
"2015","170","Bethune-Cookman","26.73"
"2015","171","Coastal Carolina","26.71"
"2015","172","Dartmouth","26.36"
"2015","173","Colgate","26.17"
"2015","174","Rhode Island","25.89"
"2015","175","SE Louisiana","24.51"
"2015","176","Mercer","23.29"
"2015","177","Northwestern State","22.92"
"2015","178","North Dakota","22.25"
"2015","179","Eastern Washington","22.02"
"2015","180","Texas Southern","21.52"
"2015","182","Lehigh","21.25"
"2015","183","Youngstown State","21.21"
"2015","184","Central Arkansas","21.06"
"2015","185","Indiana State","19.63"
"2015","186","Tennessee Tech","19.23"
"2015","187","Prairie View A&M","18.14"
"2015","188","Presbyterian","16.93"
"2015","189","Gardner-Webb","16.80"
"2015","190","New Hampshire","16.61"
"2015","193","Kennesaw State","15.83"
"2015","195","Richmond","15.69"
"2015","196","St. Francis (PA)","15.51"
"2015","197","Robert Morris","14.96"
"2015","198","Cornell","13.69"
"2015","199","Marist","13.67"
"2015","201","Northern Colorado","13.33"
"2015","202","Portland State","13.29"
"2015","203","Holy Cross","13.29"
"2015","204","Hampton","12.87"
"2015","205","Grand Valley State University","12.20"
"2015","207","Bucknell","11.95"
"2015","208","North Carolina Central","11.23"
"2015","209","Charleston Southern","11.13"
"2015","210","Elon","11.06"
"2015","211","Eastern Kentucky","11.01"
"2015","213","McNeese","10.93"
"2015","214","Valparaiso","10.32"
"2015","215","Missouri State","10.00"
"2015","216","Alabama State","9.97"
"2015","218","Jackson State","9.56"
