"Year","Team","Conference","Rating","Ranking","SecondOrderWins","Sos","Offense Ranking","Offense Rating","Offense Success","Offense Explosiveness","Offense Rushing","Offense Passing","Offense StandardDowns","Offense PassingDowns","Offense RunRate","Offense Pace","Defense Ranking","Defense Rating","Defense Success","Defense Explosiveness","Defense Rushing","Defense Passing","Defense StandardDowns","Defense PassingDowns","Defense Havoc Total","Defense Havoc FrontSeven","Defense Havoc Db","SpecialTeams Rating"
"2017","Alabama","SEC","33.5","1","12.2","0.842","11","38.7","114.8","105.7","113.9","109.9","111.3","105.1","0.58","-0.7","1","5.6","132.9","118.5","135.5","122.5","127.9","119.1","0.212","0.121","0.091","0.4"
"2017","Ohio State","Big Ten","30.9","2","11.5","0.828","3","42.9","127.5","109.1","123.9","117.5","119.1","111.9","0.53","-2.9","7","12.8","121.2","115.7","131.5","115.8","118.8","118.4","0.214","0.13699999999999998","0.076","0.9"
"2017","Wisconsin","Big Ten","26.8","3","11.9","0.873","18","37.4","111.4","103.9","106.5","114.7","103.7","118","0.607","3.9","4","11.6","125.4","103.4","118.5","110.8","111.6","114.1","0.23600000000000002","0.141","0.095","1"
"2017","Georgia","SEC","26.7","4","12.7","0.835","7","39.6","113.7","119.6","119.2","115.9","114.5","114.9","0.622","2.8","12","15.4","125.9","111.7","117.9","121","121.6","112.4","0.16899999999999998","0.10099999999999999","0.067","2.6"
"2017","Clemson","ACC","26.4","5","11.8","0.829","20","36.5","117.6","88.7","111.1","100.5","107.7","92.6","0.496","-1.2","2","8.3","129.3","120.3","124.6","124.1","119.1","136.6","0.21100000000000002","0.139","0.071","-1.8"
"2017","Penn State","Big Ten","26","6","10.9","0.86","5","41.5","116.4","120.2","119.2","115.1","112.1","126.1","0.435","1.1","10","14.9","118.8","100.6","114.4","111.2","108.4","113.4","0.2","0.109","0.08900000000000001","-0.6"
"2017","Oklahoma","SEC","25.5","7","12.1","0.843","1","49.8","132.7","120.7","126.1","129.1","124.8","128.7","0.49200000000000005","1.5","43","24.2","104.6","96.5","100","102.2","99.6","100.3","0.14","0.08800000000000001","0.052000000000000005","-0.1"
"2017","Auburn","SEC","24.7","8","10.3","0.767","25","35.4","115.8","97.2","109.4","109","109.6","101.9","0.551","-1.1","3","11","130.9","112.7","119.5","126.7","122.5","120.6","0.162","0.083","0.07400000000000001","0.2"
"2017","Florida State","ACC","22.8","9","8","0.808","37","33.3","105.8","101.4","103.7","103.8","104.9","102.9","0.515","3.7","6","12.5","109.9","112.4","111.5","111.4","112.7","106.7","0.191","0.113","0.076","2"
"2017","Washington","Big Ten","22.1","10","11.3","0.921","8","39.4","110","104.8","104.4","109.4","107.9","108","0.49700000000000005","1","13","16.3","111.5","121.7","124","110.5","118.3","108.2","0.18100000000000002","0.111","0.068","-1.1"
"2017","LSU","SEC","21.1","11","9.4","0.839","23","35.6","113.9","99.3","108.9","111.7","108.7","103.7","0.6","2.2","8","14","111.1","105.5","111.5","105.8","110","105.2","0.19699999999999998","0.10099999999999999","0.096","-0.5"
"2017","Notre Dame","FBS Independents","20.8","12","9.5","0.834","18","37.4","103.6","117","119.8","100.8","105.4","117.5","0.57","-3.1","15","16.9","112.6","111.5","113.6","113.8","109.4","114.1","0.156","0.10099999999999999","0.055","0.2"
"2017","Michigan","Big Ten","19.6","13","8.5","0.823","49","31.1","98.4","104.1","107.9","96.1","97.6","111.1","0.564","2","5","11.8","138.2","87.1","111.2","110.5","111.1","111.1","0.237","0.129","0.107","0.3"
"2017","Louisville","ACC","19.2","14","8.3","0.869","2","43.3","119.2","113.6","122.4","111","113.9","119.1","0.47","-0.5","47","24.9","92","97.9","96.3","92.4","93.5","96.4","0.16899999999999998","0.098","0.071","0.8"
"2017","Oklahoma State","Big 12","19.1","15","9.8","0.88","4","42.2","112.9","118.1","106.5","117.4","110.1","123.9","0.45299999999999996","-3.3","35","23","105.6","96.4","103.5","100.5","100.3","104.1","0.175","0.109","0.066","-0.1"
"2017","TCU","Big 12","18.9","16","10.3","0.858","21","35.7","105.4","95.3","105.4","99.5","97.7","108.9","0.518","1","19","18.7","126","95.4","119.5","107.1","110.5","109.5","0.195","0.115","0.08","1.9"
"2017","USC","Big Ten","17.9","17","10.7","0.88","12","38.5","109.1","106.9","103.3","110.4","107.8","109.4","0.484","-0.3","24","20","109.7","99.5","103.9","105.8","106.2","101.9","0.177","0.11","0.064","-0.6"
"2017","Miami","ACC","17.4","18","9.1","0.838","27","35.3","102","117","107.9","106.8","105.5","114.2","0.446","-0.3","16","17","111.1","107.8","109.5","111","109.8","108.6","0.198","0.127","0.071","-0.9"
"2017","Mississippi State","SEC","16","19","9","0.812","40","32.4","110.2","87.5","106.6","97.1","102","96.4","0.602","-0.7","18","18.1","121.5","91.9","107.8","103.4","108.7","103","0.20800000000000002","0.125","0.08199999999999999","1.7"
"2017","Stanford","ACC","15.8","20","7.7","0.856","16","37.7","96.1","122.5","113.4","101.3","105.4","107.4","0.5579999999999999","4.1","44","24.5","98.5","105.9","101.7","99.3","103","95.8","0.147","0.08","0.066","2.6"
"2017","Virginia Tech","ACC","14.3","21","7.9","0.89","71","27.8","105.3","88.5","96.1","101.6","102.3","87.6","0.53","-0.7","9","14.4","122.7","87.9","113.2","99.5","108.9","96.2","0.209","0.121","0.08800000000000001","0.9"
"2017","UCF","Big 12","14.1","22","11.9","0.953","6","40.5","113.7","123","111.5","120.5","116.3","120.5","0.494","-1.9","63","26.9","114.6","95.9","107.5","106.7","110.1","95.9","0.165","0.099","0.064","0.4"
"2017","Michigan State","Big Ten","13.8","23","8.7","0.819","72","27.7","105.3","93.4","96.8","103.2","96.6","106.4","0.539","2.4","11","15.1","113","111.8","124.3","108.2","113.4","110.8","0.16899999999999998","0.09699999999999999","0.07200000000000001","1.2"
"2017","NC State","ACC","12.9","24","8.9","0.83","15","38","107.7","104.2","102.1","108","102","114.1","0.485","0.9","37","23.3","103.7","99.3","103.8","102.9","101.8","98.9","0.174","0.113","0.062","-1.9"
"2017","Utah","Big 12","12","25","8.5","0.885","53","30.6","106.2","96.4","100.3","103.2","98.8","108.5","0.493","0.9","26","20.5","111.7","104.3","106.5","111","107.9","109.4","0.158","0.08900000000000001","0.067","1.9"
"2017","Ole Miss","SEC","11.6","26","7.6","0.839","10","38.9","104.2","118","105.1","110.2","109.2","108.4","0.391","-1.8","76","28.8","96.4","95.1","92.8","97.9","94.6","104.2","0.14","0.087","0.053","1.6"
"2017","Northwestern","Big Ten","11.2","27","8","0.869","59","28.8","99.7","92.7","95.9","96.1","100.7","85.7","0.49700000000000005","-1.4","17","17.4","106.6","100.3","113.3","101.2","104.3","103.3","0.201","0.129","0.071","-0.3"
"2017","Missouri","SEC","11.1","28","8.1","0.88","24","35.5","105.7","113.7","101.5","114.1","105.6","118.2","0.495","-4.1","60","26.4","104.4","92.6","100.8","98.3","101.9","92.1","0.16399999999999998","0.114","0.05","2"
"2017","Kansas State","Big 12","10.9","29","7.2","0.872","32","34.4","97.3","100.9","105.6","96.6","101.2","97.6","0.619","3","59","26.1","100.2","104.4","111.5","100.4","103.9","94.6","0.149","0.077","0.07200000000000001","2.6"
"2017","Texas","SEC","10.6","30","6.5","0.853","80","26.7","93.7","89","92","91.5","92.1","90.6","0.465","-0.8","13","16.3","117.3","106.5","122.1","107.3","111.9","113.3","0.18","0.08199999999999999","0.09699999999999999","0.2"
"2017","Wake Forest","ACC","10.5","31","7.4","0.827","21","35.7","107","109.9","97.7","115.3","107.5","104.9","0.521","-3.9","49","25.1","101.3","101.9","104.8","101.7","98.8","105.7","0.18600000000000003","0.113","0.073","0"
"2017","Indiana","Big Ten","10.2","32","5.5","0.821","63","28.6","94.5","94.8","87.5","95.1","91.6","101.1","0.41100000000000003","-3.1","25","20.2","109.7","103.1","106.6","106","103.1","117.7","0.16899999999999998","0.105","0.064","1.8"
"2017","South Florida","American Athletic","10.2","32","9.8","0.958","47","31.6","95.2","109.1","100.9","105.3","101.2","100.1","0.609","-5","29","21.2","121.4","99.7","110.9","111.7","121.7","96.2","0.198","0.122","0.076","-0.2"
"2017","Florida","SEC","10.1","34","5.1","0.818","51","30.8","97.3","95.2","100.8","93.3","101.3","86.4","0.527","2.9","33","22.4","110.7","90.3","104.1","98.3","102.9","100.9","0.187","0.107","0.079","1.7"
"2017","Iowa","Big Ten","9.8","35","6.9","0.819","69","28.4","99.5","102.8","94.9","105.8","98.8","105.7","0.531","1.9","21","19.4","102.2","109.8","104.4","106.1","105","104.7","0.185","0.122","0.061","0.8"
"2017","Texas A&M","SEC","9.4","36","5.5","0.822","38","33.1","93.4","112.4","92.9","107.5","95.4","114.1","0.518","-1.6","52","25.2","106.3","96.8","101.4","103.9","107.1","91.4","0.17600000000000002","0.10099999999999999","0.073","1.5"
"2017","Oregon","Big Ten","9.1","37","7.9","0.897","28","35","103.4","102.8","105.4","105.1","102.7","105.2","0.629","-4","49","25.1","115.8","96.7","112.3","103.3","106.9","104.3","0.19399999999999998","0.115","0.077","-0.7"
"2017","Boise State","Mountain West","9.1","37","10.7","0.957","63","28.6","107.8","101.5","100.3","108.4","103.2","107.2","0.513","1.1","26","20.5","107.8","112.1","117.3","106.4","107.5","115.4","0.165","0.033","0.069","1"
"2017","Georgia Tech","ACC","8.9","39","6","0.829","29","34.9","112","96.6","112.3","117","101.8","120","0.804","-0.5","49","25.1","93.8","105.9","96.5","100.8","96.9","101.5","0.131","0.068","0.063","-0.9"
"2017","Washington State","Pac-12","8.6","40","7.5","0.879","50","30.9","100.4","97.4","94.9","95.7","101.3","95.8","0.263","2.8","30","22.1","115.5","91.1","100.5","107.1","102.8","103.1","0.18899999999999997","0.11599999999999999","0.073","-0.3"
"2017","South Carolina","SEC","7.8","41","7.9","0.853","69","28.4","100.1","96.5","94.3","99.6","102.4","85.9","0.45899999999999996","2.8","22","19.7","104.8","111.8","113","105.5","104","117.3","0.158","0.094","0.063","-0.8"
"2017","Memphis","American Athletic","7.8","41","9","0.94","17","37.6","101.6","119.4","104.9","108.1","107.2","113.5","0.442","-2.8","85","30.6","102.5","102.1","101.5","101.7","105","96.1","0.183","0.08800000000000001","0.094","0.7"
"2017","Houston","Big 12","7.7","43","7.5","0.948","41","32.3","99.9","95.4","96.8","97.5","99.8","96.3","0.493","-1.7","56","25.8","101.2","115.7","109.4","107.9","102.3","120.4","0.154","0.087","0.068","1.3"
"2017","Iowa State","Big 12","7.5","44","7.5","0.862","13","38.2","98.4","95.8","88.9","99.7","96.7","97.3","0.446","1.5","87","30.7","106.1","114","114.2","106","107.9","112.1","0.17600000000000002","0.11199999999999999","0.063","0"
"2017","Toledo","Mid-American","6.6","45","10.2","0.963","44","32.2","105.6","114","98.5","117.5","107.5","109.3","0.5329999999999999","1.1","54","25.7","99.3","100.3","94.5","105.2","96.5","109","0.14800000000000002","0.081","0.066","0.1"
"2017","Duke","ACC","6.1","46","7","0.873","87","25.5","97.1","91.4","102.2","90.5","93.2","96.6","0.48","-1.5","20","19.2","113.5","93.6","107.6","98.4","107.5","95.7","0.193","0.099","0.09300000000000001","-0.2"
"2017","Pittsburgh","ACC","6","47","6","0.85","48","31.4","108.9","92","105","98.7","105.1","93.5","0.527","2.6","48","25","103.3","96.6","101.5","98.9","103.1","96.2","0.153","0.086","0.065","-0.4"
"2017","Purdue","Big Ten","5.8","48","8","0.846","63","28.6","102.1","101.3","104.3","98.8","100.1","105.3","0.42100000000000004","-0.6","30","22.1","112.2","98","118.9","99.4","108.9","101.1","0.152","0.10099999999999999","0.051","-0.7"
"2017","West Virginia","Big 12","5.6","49","7.2","0.856","36","33.6","106.5","99.8","99.7","103.9","106.7","101.1","0.43799999999999994","-2.3","65","27.2","105","97.2","94.3","104.6","98","110.8","0.16399999999999998","0.08199999999999999","0.081","-0.8"
"2017","Florida Atlantic","American Athletic","5.1","50","11.1","0.948","30","34.7","108","111.3","116","107","109","109.8","0.617","-4.7","88","31.3","100.3","106.5","100.9","103.8","104.9","99.4","0.149","0.081","0.068","1.8"
