"Year","School","Talent"
"2017","Alabama","997.57"
"2017","Ohio State","959.12"
"2017","USC","934.00"
"2017","Georgia","930.34"
"2017","Florida State","924.97"
"2017","LSU","907.10"
"2017","Michigan","874.28"
"2017","Auburn","867.43"
"2017","Clemson","853.65"
"2017","Notre Dame","837.71"
"2017","UCLA","830.58"
"2017","Tennessee","817.34"
"2017","Texas","811.03"
"2017","Stanford","810.31"
"2017","Texas A&M","807.27"
"2017","Oklahoma","801.67"
"2017","Ole Miss","795.70"
"2017","Florida","793.83"
"2017","Penn State","779.26"
"2017","Miami","749.08"
"2017","Arizona State","720.44"
"2017","Oregon","720.23"
"2017","Arkansas","717.01"
"2017","Washington","706.52"
"2017","South Carolina","702.52"
"2017","Mississippi State","701.06"
"2017","North Carolina","697.54"
"2017","Maryland","696.21"
"2017","Nebraska","693.46"
"2017","Michigan State","680.94"
"2017","TCU","672.81"
"2017","Kentucky","671.45"
"2017","Virginia Tech","662.18"
"2017","Pittsburgh","660.36"
"2017","Baylor","657.22"
"2017","Louisville","640.98"
"2017","Wisconsin","639.76"
"2017","Oklahoma State","633.57"
"2017","Utah","630.95"
"2017","Duke","627.62"
"2017","Northwestern","627.54"
"2017","Missouri","623.33"
"2017","West Virginia","613.18"
"2017","NC State","609.76"
"2017","Vanderbilt","607.68"
"2017","Arizona","607.31"
"2017","Virginia","603.88"
"2017","California","603.06"
"2017","Iowa","592.95"
"2017","Texas Tech","574.93"
"2017","Rutgers","574.78"
"2017","Georgia Tech","574.35"
"2017","BYU","574.09"
"2017","UCF","571.52"
"2017","Colorado","568.59"
"2017","Iowa State","559.34"
"2017","Houston","558.72"
"2017","Oregon State","557.02"
"2017","South Florida","554.17"
"2017","Washington State","549.42"
"2017","Indiana","547.92"
"2017","Minnesota","543.80"
"2017","Syracuse","539.60"
"2017","Illinois","538.83"
"2017","Boston College","535.21"
"2017","Wake Forest","527.21"
"2017","Kansas State","517.85"
"2017","Kansas","512.24"
"2017","Memphis","504.49"
"2017","Purdue","502.71"
"2017","Boise State","501.53"
"2017","Cincinnati","500.95"
"2017","SMU","492.63"
"2017","East Carolina","471.10"
"2017","Florida Atlantic","470.88"
"2017","Temple","468.29"
"2017","Marshall","445.48"
"2017","Colorado State","441.98"
"2017","Arkansas State","436.05"
"2017","Tulsa","422.77"
"2017","UConn","420.17"
"2017","San Diego State","419.43"
"2017","Western Michigan","414.35"
"2017","Miami (OH)","413.24"
"2017","Tulane","396.43"
"2017","Louisiana Tech","394.31"
"2017","Southern Miss","394.24"
"2017","South Alabama","387.88"
"2017","Central Michigan","387.20"
"2017","San José State","378.56"
"2017","Navy","376.20"
"2017","Fresno State","374.63"
"2017","Northern Illinois","373.99"
"2017","Massachusetts","367.59"
"2017","Toledo","366.47"
"2017","Georgia Southern","365.57"
"2017","Georgia State","364.16"
"2017","Bowling Green","361.82"
"2017","Troy","352.10"
"2017","Rice","345.79"
"2017","Middle Tennessee","344.65"
"2017","New Mexico","344.64"
"2017","Nevada","341.11"
"2017","Akron","337.11"
"2017","App State","335.87"
"2017","Florida International","334.18"
"2017","Western Kentucky","332.17"
"2017","Old Dominion","331.20"
"2017","UNLV","331.18"
"2017","Hawai'i","330.56"
"2017","Utah State","330.20"
"2017","Louisiana","329.24"
"2017","Ohio","326.14"
"2017","Ball State","318.17"
"2017","UL Monroe","303.96"
"2017","North Texas","303.13"
"2017","Buffalo","294.08"
"2017","Eastern Michigan","292.11"
"2017","UTSA","291.62"
"2017","Kent State","288.56"
"2017","Charlotte","283.01"
"2017","Wyoming","277.07"
"2017","Texas State","274.67"
"2017","UTEP","264.42"
"2017","New Mexico State","233.47"
"2017","Idaho","184.75"
"2017","James Madison","179.50"
"2017","UAB","170.05"
"2017","Portland State","147.63"
"2017","Coastal Carolina","119.43"
"2017","Stony Brook","111.94"
"2017","Towson","106.93"
"2017","Army","88.72"
"2017","Montana","80.03"
"2017","Cal Poly","76.98"
"2017","Charleston Southern","72.38"
"2017","Richmond","71.64"
"2017","Kennesaw State","70.97"
"2017","Northern Arizona","69.20"
"2017","Rhode Island","65.72"
"2017","Weber State","51.74"
"2017","Sacramento State","46.67"
"2017","William & Mary","40.05"
"2017","Maine","38.99"
"2017","Southern Utah","33.11"
"2017","Northern Colorado","32.58"
"2017","Montana State","26.40"
"2017","Gardner-Webb","23.01"
"2017","Monmouth","21.44"
"2017","Air Force","21.10"
"2017","Eastern Washington","19.95"
"2017","Liberty","19.85"
"2017","Idaho State","15.22"
"2017","Presbyterian","14.91"
"2017","Elon","13.41"
"2017","Villanova","11.65"
"2017","New Hampshire","11.21"
