"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2021","163","Princeton","Ivy","","0","10","9","1","0","7","6","1","0","4","4","0","0","6","5","1","0"
"2021","62","Hawai'i","Mountain West","West","6.3","13","6","7","0","8","3","5","0","6","4","2","0","7","2","5","0"
"2021","107","Holy Cross","Patriot","","1","13","10","3","0","6","6","0","0","6","4","2","0","7","6","1","0"
"2021","2506","Presbyterian","Pioneer","","0","11","2","9","0","8","0","8","0","6","2","4","0","5","0","5","0"
"2021","3071","North Central College","CCIW","","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","2336","Limestone","South Atlantic","","0","9","0","9","0","7","0","7","0","5","0","5","0","4","0","4","0"
"2021","2075","Bowie State","CIAA","Northern","0","14","12","2","0","8","8","0","0","7","7","0","0","7","5","2","0"
"2021","2306","Kansas State","Big 12","","7.4","13","8","5","0","9","4","5","0","7","4","3","0","4","2","2","0"
"2021","2329","Lehigh","Patriot","","0","11","3","8","0","6","3","3","0","6","2","4","0","5","1","4","0"
"2021","2687","Washburn","Mid America","","0","12","9","3","0","11","9","2","0","6","6","0","0","6","3","3","0"
"2021","2181","Drake","Pioneer","","0","11","2","9","0","8","1","7","0","5","1","4","0","6","1","5","0"
"2021","2086","Butler","Pioneer","","0","11","3","8","0","8","1","7","0","5","1","4","0","6","2","4","0"
"2021","222","Villanova","CAA","","0","13","10","3","0","8","7","1","0","7","5","2","0","6","5","1","0"
"2021","2751","Wyoming","Mountain West","Mountain","7.6","13","7","6","0","8","2","6","0","6","3","3","0","6","3","3","0"
"2021","2046","Austin Peay","OVC","","0","11","6","5","0","7","4","3","0","5","3","2","0","6","3","3","0"
"2021","213","Penn State","Big Ten","East","7.1","13","7","6","0","9","4","5","0","7","5","2","0","5","2","3","0"
"2021","367","Gannon","Pennsylvania State Athletic","Western","0","11","5","6","0","10","4","6","0","5","2","3","0","6","3","3","0"
"2021","425","Northern State","Northern Sun","North","0","11","7","4","0","11","7","4","0","5","3","2","0","6","4","2","0"
"2021","304","Idaho State","Big Sky","","0.1","11","1","10","0","8","1","7","0","5","1","4","0","6","0","6","0"
"2021","2197","Eastern Illinois","OVC","","0","11","1","10","0","7","1","6","0","4","0","4","0","7","1","6","0"
"2021","2817","Minnesota State Moorhead","Northern Sun","North","0","11","5","6","0","11","5","6","0","6","2","4","0","5","3","2","0"
"2021","2220","Fayetteville State","CIAA","Southern","0","10","8","2","0","9","8","1","0","5","5","0","0","5","3","2","0"
