Year,Rank,Team,Points
2022,1,Texas A&M,333.13
2022,2,Alabama,322.25
2022,3,Georgia,318.34
2022,4,Ohio State,300.95
2022,5,Texas,289.04
2022,6,Penn State,278.66
2022,7,Notre Dame,275.44
2022,8,Oklahoma,266.73
2022,9,Michigan,262.13
2022,10,Clemson,260.87
2022,11,North Carolina,258.5
2022,12,LSU,245.76
2022,13,Oregon,243.37
2022,14,Kentucky,240.16
2022,15,Missouri,236.92
2022,16,Miami,235.03
2022,17,Florida,232.99
2022,18,Tennessee,232.77
2022,19,Stanford,229.74
2022,20,Florida State,229.46
2022,21,Auburn,229.35
2022,22,Arizona,224.38
2022,23,Ole Miss,222.38
2022,24,Michigan State,221.83
2022,25,South Carolina,220.16
2022,26,Indiana,219.8
2022,27,Mississippi State,219.45
2022,28,Arkansas,217.69
2022,29,Oklahoma State,217.39
2022,30,Iowa,215.05
2022,31,Maryland,213.62
2022,32,Vanderbilt,212.11
2022,33,Rutgers,210.07
2022,34,Utah,209.71
2022,35,West Virginia,209.05
2022,36,Virginia Tech,208.77
2022,37,Baylor,208.03
2022,38,Purdue,206.4
2022,39,Iowa State,205.08
2022,40,Boston College,202.55
2022,41,Nebraska,198.64
2022,42,Cincinnati,197.75
2022,43,Texas Tech,197.4
2022,44,Wisconsin,194.42
2022,45,TCU,194.07
2022,46,Illinois,192.59
2022,47,Colorado,192.38
2022,48,Northwestern,191.62
2022,49,Minnesota,189.38
2022,50,Houston,187.64
2022,51,Louisville,187.58
2022,52,Duke,186.78
2022,53,UCF,186.37
2022,54,Georgia Tech,184.81
2022,55,BYU,181.5
2022,56,Oregon State,181.41
2022,57,Marshall,176.47
2022,58,Memphis,176.39
2022,59,California,175.53
2022,60,Washington State,175.48
2022,61,UCLA,175.37
2022,62,Boise State,174.52
2022,63,Kansas State,173.32
2022,64,NC State,171.26
2022,65,San Diego State,168.39
2022,66,Virginia,166.85
2022,67,Arkansas State,166.63
2022,68,Syracuse,166.16
2022,69,Coastal Carolina,165.67
2022,70,USC,165.48
2022,71,Wake Forest,164.19
2022,72,Fresno State,163.46
2022,73,UTSA,162.04
2022,74,Tulane,160.73
2022,75,San José State,157.03
2022,76,Pittsburgh,153.09
2022,77,Miami (OH),152.97
2022,78,Colorado State,152.84
2022,79,Southern Miss,152.38
2022,80,Utah State,152.31
2022,81,Buffalo,147.86
2022,82,SMU,146.38
2022,83,App State,144.67
2022,84,Central Michigan,144.51
2022,85,East Carolina,143.29
2022,86,UAB,142.49
2022,87,Northern Illinois,142.15
2022,88,Louisiana Tech,140.27
2022,89,Campbell,137.24
2022,90,Kent State,136.64
2022,91,South Florida,136.48
2022,92,Toledo,134.89
2022,93,Wyoming,133.87
2022,94,Western Kentucky,129.6
2022,95,Temple,129.57
2022,96,Washington,129.55
2022,97,Ball State,127.25
2022,98,Liberty,126.37
2022,99,Florida International,124.38
2022,100,New Mexico,124.26
2022,101,Georgia State,124.06
2022,102,UNLV,121.78
2022,103,Arizona State,120.17
2022,104,South Alabama,119.39
2022,105,Western Michigan,119.04
2022,106,Old Dominion,118.85
2022,107,Charlotte,117.06
2022,108,New Mexico State,117
2022,109,Bowling Green,115.82
2022,110,Georgia Southern,115.78
2022,111,Louisiana,115.71
2022,112,Tulsa,113.34
2022,113,UConn,112.35
2022,114,Air Force,110.12
2022,115,Nevada,108.19
2022,116,Kansas,106.28
2022,117,Massachusetts,105.95
2022,118,North Texas,102.95
2022,119,Rice,102.87
2022,120,Middle Tennessee,102.04
2022,121,Sam Houston,101.32
2022,122,Jackson State,100.92
2022,123,Grambling,96.14
2022,124,Florida Atlantic,94.73
2022,125,Central Arkansas,90.76
2022,126,Hawai'i,84.97
2022,127,Akron,81.7
2022,128,Eastern Michigan,77.97
2022,129,UTEP,77.74
2022,130,Troy,65.19
2022,131,Princeton,56.25
2022,132,Ohio,53.67
2022,133,Texas State,51.34
2022,134,UL Monroe,49.36
2022,135,North Dakota State,46.49
2022,136,Harvard,46.06
2022,137,Murray State,41.85
2022,138,Navy,41.48
2022,139,Grand Valley State University,36.11
2022,140,Florida A&M,32.58
2022,141,Northern Arizona,32.26
2022,142,Youngstown State,30.85
2022,143,Austin Peay,30.6
2022,144,South Carolina State,28.97
2022,145,Yale,28.75
2022,146,SE Louisiana,28.48
2022,147,Idaho,27.31
2022,148,Northern Iowa,26.87
2022,149,Jacksonville State,25.39
2022,150,Southern Illinois,25.26
2022,151,Eastern Washington,24.93
2022,152,Western Carolina,24.04
2022,153,Portland State,23.86
2022,154,Chattanooga,23.66
2022,155,James Madison,21.94
2022,156,Eastern Kentucky,19.26
2022,157,Army,18.34
2022,158,Georgetown,17.56
2022,159,East Tennessee State,16.89
2022,160,Northwestern State,15.78
2022,161,Howard,14.17
2022,162,Tennessee Tech,14.17
2022,163,Missouri State,13.67
2022,164,Western Illinois,13
2022,165,UC Davis,12.81
2022,166,Sacramento State,12.67
2022,167,Monmouth,12.67
2022,168,Lehigh,12.56
2022,169,Pennsylvania,12.28
2022,170,Weber State,12.17
2022,171,Villanova,12.17
2022,172,Furman,12.17
2022,173,Southeast Missouri State,11.67
2022,174,Lamar,11.67
2022,175,Alabama A&M,11.17
2022,176,North Carolina Central,11.17
2022,177,North Carolina A&T,11.17
2022,178,Richmond,10.89
2022,179,Rhode Island,10.67
2022,180,UT Martin,10.44
2022,181,Towson,10.06
2022,182,The Citadel,9.89
2022,183,Stephen F. Austin,9.44
2022,184,Bucknell,8.83
2022,185,Montana State,8.33
