"team_year_id","year","team","sp_rating","conference","offense_ranking","offense_rating","defense_ranking","defense_rating","expected_wins","total_games","total_wins","total_losses","talent_rating","recruiting_rank","recruiting_points"
"2015Ohio State",2015,"Ohio State",29.5,"Big Ten",12,41.3,6,13.5,12.1,13,12,1,907.32,7,279.6
"2015Alabama",2015,"Alabama",29,"SEC",23,37.7,1,9.1,12.5,15,14,1,981.9,1,311.1
"2015Ole Miss",2015,"Ole Miss",27,"SEC",8,43.1,12,17.4,10.3,13,10,3,764.34,17,245.71
"2015Clemson",2015,"Clemson",24,"ACC",10,41.9,11,17.2,14.1,15,14,1,807.56,9,277.98
"2015Florida State",2015,"Florida State",23.2,"ACC",21,38,7,15,9.6,13,10,3,889.92,3,287.06
"2015Stanford",2015,"Stanford",22.8,"Pac-12",5,44.5,45,24.5,10.5,14,12,2,765.98,24,220.65
"2015Oklahoma",2015,"Oklahoma",22.7,"Big 12",11,41.7,16,19.3,10.4,13,11,2,775.9,15,249.69
"2015Notre Dame",2015,"Notre Dame",22.4,"FBS Independents",6,44.1,29,21.2,10.2,13,10,3,857.33,13,267.79
"2015North Carolina",2015,"North Carolina",20,"ACC",7,43.3,51,25.3,11.2,14,11,3,683.03,28,214.05
"2015LSU",2015,"LSU",19.7,"SEC",12,41.3,33,21.8,8,12,9,3,889.37,5,284.37
"2015Michigan",2015,"Michigan",19.7,"Big Ten",34,35.2,10,16.2,9.7,13,10,3,851.12,37,194.82
"2015Tennessee",2015,"Tennessee",19.5,"SEC",30,35.7,13,17.8,9.9,13,9,4,810.53,4,286.26
"2015Baylor",2015,"Baylor",19.5,"Big 12",3,45.1,44,24.1,10.8,13,10,3,660.35,36,195.88
"2015Arkansas",2015,"Arkansas",19.2,"SEC",2,46.6,67,28,7.9,13,8,5,695.04,22,222.51
"2015TCU",2015,"TCU",19,"Big 12",15,40.8,32,21.7,10.1,13,11,2,630.38,39,191.44
"2015UCLA",2015,"UCLA",18.6,"Pac-12",9,42.4,37,22.6,7.9,13,8,5,793.22,12,269.68
"2015Georgia",2015,"Georgia",16.8,"SEC",67,28.6,2,10.7,8.3,13,10,3,877.74,6,282.54
"2015USC",2015,"USC",16.8,"Pac-12",20,38.6,41,23.3,8.3,14,8,6,926.71,2,310.88
"2015Oregon",2015,"Oregon",15.9,"Pac-12",1,46.7,82,30.4,8.2,13,9,4,757.52,16,245.79
